Start Date,End Date,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Sentiment Score,Sentiment Label
saturday november 7 1942,tuesday november 10 1942,25,"laughter, baby, good, surprise, god, affection, feeling, diary, weight, child, beautiful, optimism, true, darling, food, comfort, pay, beauty, mother, deal, clown, happy, jump, satisfied, present",18,"falling, bottom, cross, ill, sarcasm, weight, choke, broke, unable, feeling, adrift, ache, black, meaningless, scold, despair, suffering, illness",16,"cross, ill, jealous, sarcasm, choke, feeling, confront, vent, scold, attack, contempt, despair, clash, injustice, carelessness, blame",16,"cross, ill, weight, broke, feeling, adrift, surprise, flying, scold, stunned, contempt, despair, attack, god, suffering, illness",27,"good, god, affection, retain, secret, feeling, advise, deed, intact, diary, serve, weight, optimism, true, darling, explain, father, food, comfort, pay, mother, deal, top, happy, provide, real, present",11,"ill, sarcasm, weight, suffering, blame, feeling, scold, contempt, despair, carelessness, jealous",12,"laughter, differently, weight, present, feeling, good, surprise, optimism, deal, clown, judgment, stunned",20,"laughter, coming, good, god, patient, feeling, time, weight, adrift, child, optimism, comfort, pay, daily, mother, deal, clown, top, happy, present",11,Highly Positive
tuesday november 10 1942,thursday november 12 1942,2,"excellent, food",4,"quiet, dreadful, shell, worse",2,"dreadful, shell",6,"shell, dreadful, worse, dangerous, afraid, hiding",5,"fill, planning, excellent, father, food",1,dreadful,1,shell,4,"plan, planning, dreadful, thought",-2,Negative
thursday november 12 1942,tuesday november 17 1942,1,pleased,2,"dark, delay",1,delay,2,"hiding, delay",2,"accounts, father",1,delay,0,,4,"long, wait, thought, arrive",1,Positive
tuesday november 17 1942,thursday november 19 1942,12,"civilized, nap, star, respect, lovely, music, surprise, beautiful, special, goodness, classics, advance",8,"owing, unable, dispossessed, lovely, remove, music, rumor, quiet",4,"remove, owing, vermin, dispossessed",8,"suspense, escape, owing, dispossessed, remove, surprise, vermin, advance",13,"guide, civilized, secret, star, owing, officer, frank, truth, lovely, goodness, management, prepared, respect",2,"owing, vermin",5,"suspense, lovely, surprise, goodness, advance",19,"suspense, coming, owing, lovely, prepared, advance, await, time, respect, star, expecting, track, production, escape, correspondence, immediately, thought, daily, goodness",22,Highly Positive
thursday november 19 1942,friday november 20 1942,6,"green, save, delighted, laugh, good, honest",12,"sick, exhaustion, worried, crying, death, honest, slave, hell, sacrifices, turmoil, suffering, gray",6,"bully, death, honest, slave, hell, turmoil",16,"lines, frightened, escape, stalk, bully, wicked, death, honest, hell, slave, change, hiding, sacrifices, military, turmoil, suffering",8,"green, save, fact, good, innocent, ground, honest, father",8,"sick, death, honest, hell, toilet, sacrifices, suffering, gray",8,"frightened, surprised, catch, delighted, laugh, good, death, sudden",10,"escape, immediately, exhaustion, delighted, thought, good, time, death, long, fate",-18,Highly Negative
friday november 20 1942,monday december 7 1942,11,"young, cheerful, lucky, feeling, laugh, mother, laughing, finally, good, adore, kind",17,"gloomy, dark, scarcity, bad, bottom, deserted, unhappy, crazy, dreadful, suffering, feeling, wanting, crying, misery, gloom, badly, cry",12,"scarcity, deserted, unhappy, crazy, teasing, dreadful, feeling, react, misery, ungrateful, riot, bad",14,"harm, riot, scarcity, bad, taboo, deserted, crazy, teasing, dreadful, feeling, react, misery, avoid, suffering",18,"account, usual, kind, secret, law, count, feeling, father, economy, mother, good, finally, advise, adore, personal, calls, center, continue",11,"bad, taboo, deserted, unhappy, dreadful, feeling, misery, finally, gruesome, ungrateful, suffering",8,"young, differently, cheerful, lucky, feeling, laugh, good, finally",17,"young, attempt, dreadful, calls, thought, result, mother, good, time, finally, begun, feeling, adore, recipient, start, long, continue",-8,Negative
monday december 7 1942,thursday december 10 1942,8,"celebrated, gift, money, wonderful, good, sing, doll, fun",3,"black, darkness, sing",2,"darkness, money",1,darkness,6,"cabinet, money, wonderful, good, sing, father",0,,5,"gift, money, wonderful, curiosity, good",9,"celebrated, gift, money, curiosity, good, time, sing, long, fun",17,Highly Positive
thursday december 10 1942,sunday december 13 1942,9,"laughter, sunshine, mother, finally, found, deal, food, delight, fun",12,"victim, rheumatism, ill, bothering, concerned, bloody, remove, fat, wince, broken, case, pain",12,"victim, ill, bothering, bloody, remove, force, kicking, butcher, wince, broken, rheumatism, screaming",15,"victim, rheumatism, examination, ill, concerned, infection, bloody, remove, force, screaming, butcher, wince, broken, case, pain",7,"planning, mother, finally, ground, found, deal, food",7,"ill, bloody, finally, butcher, wince, fat, screaming",5,"laughter, finally, deal, examination, mouth",12,"laughter, importance, coming, patient, planning, mother, finally, time, deal, delight, fun, audience",-18,Highly Negative
sunday december 13 1942,tuesday december 22 1942,3,"green, feeling, food",4,"misfortune, fat, feeling, grim",4,"grim, bark, politics, feeling",5,"misfortune, change, rod, feeling, grim",5,"green, rod, feeling, food, real",5,"dirty, feeling, slum, grim, fat",2,"trip, feeling",4,"grim, neighborhood, tomorrow, feeling",-6,Negative
tuesday december 22 1942,wednesday january 13 1943,11,"dawn, clean, cheerful, lucky, delighted, mother, good, glad, peace, kind, receiving",5,"abandoned, ill, hanging, torment, black",8,"abandoned, pound, ill, hanging, torment, disgusting, lying, revenge",9,"abandoned, hiding, ill, hanging, torment, disgusting, revenge, government, war",8,"dawn, vigorous, mother, good, constantly, clean, peace, kind",5,"ill, disgusting, hanging, lying, egotistical",7,"dawn, cheerful, lucky, delighted, good, revenge, receiving",10,"dawn, delighted, mother, good, time, revenge, glad, peace, long, receiving",2,Positive
